ZE-Nr,ZE-Name,WKA-Name,WKA-Typ,ZE-Standort,ZE-Kanton,ZE-Status,Funktion: Turbinieren,Funktion: Pumpen,QTurbine [m3/sec],Inst. Turbinenleistung,"(""LTURBINE[MW]""/100)*""PROZ.ANTEILCH""",Max. Leistung ab Generator,"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Prod. ohne Umwälzbetrieb - W.,Prod. ohne Umwälzbetrieb - S.,Prod. ohne Umwälzbetrieb - J.,"(""PROD.OHNEUMWÄLZBETRIEB-J.""/100)*""PROZ.ANTEILCH""",QPumpe [m3/sec],Inst. Pumpenleistung,Leistungsaufnahme Motoren,Bedarf ohne Umwälzb. - W.,Bedarf ohne Umwälzb. - S.,Bedarf ohne Umwälzb. - J.,ZE-Erste Inbetriebnahme,ZE-Letzte Inbetriebnahme,ZE-Kote,Proz. Anteil CH,Kantonsanteil: Kanton Name (1),Kantonsanteil (1),Kantonsanteil: Kanton Name (2),Kantonsanteil (2),Kantonsanteil: Kanton Name (3),Kantonsanteil (3),Genutzte Gewässer - Name (1),Genutzte Gewässer - Name (2),Genutzte Gewässer - Name (3),Genutzte Gewässer - Name (4),Genutzte Gewässer - Name (5),Genutzte Gewässer - Name (6),Genutzte Gewässer - Name (7),"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Genutzte Gewässer - Name (8),Genutzte Gewässer - Name (9),Genutzte Gewässer - Name (10),Genutzte Gewässer - Name (11),Genutzte Gewässer - Name (12),Ersatzenergie: Richtung (1),Ersatzenergie: Partner (1),Ersatzenergie: Richtung (2),Ersatzenergie: Partner (2),Ersatzenergie: Richtung (3),Ersatzenergie: Partner (3),Ersatzenergie: Richtung (4),Ersatzenergie: Partner (4),Ersatzenergie: Richtung (5),Ersatzenergie: Partner (5),Ersatzenergie :Richtung (6),Ersatzenergie: Partner (6),Ersatzenergie: Richtung (7),Ersatzenergie: Partner (7),Ersatzenergie: Richtung (8),Ersatzenergie: Partner (8),Ersatzenergie: Richtung (9),Ersatzenergie: Partner (9),Ersatzenergie: Richtung (10),Ersatzenergie: Partner (10),Ersatzenergie: Richtung (11),Ersatzenergie: Partner (11),Ersatzenergie: Richtung (12),Ersatzenergie: Partner (12),Rechte - Name (1),Rechte - Endjahr (1),Rechte - Name (2),Rechte - Endjahr (2),Rechte - Name (3),Rechte - Endjahr (3),Rechte - Name (4),Rechte - Endjahr (4),Rechte - Name (5),Rechte - Endjahr (5),Rechte - Name (6),Rechte - Endjahr (6),Rechte - Name (7),Rechte - Endjahr (7),Rechte - Name (8),Rechte - Endjahr (8),Rechte - Name (9),Rechte - Endjahr (9),Rechte - Name (10),Rechte - Endjahr (10),Bemerkung (1),Bemerkung (2),Bemerkung (3),Bemerkung (4),Bemerkung (5),Bemerkung (6),Bemerkung (7),Bemerkung (8),Bemerkung (9),Bemerkung (10),ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
100100,Val Giuf,Val Giuf,L,Rueras,Graubünden,im Normalbetrieb,T,,0.43,1.5,1.5,1.42,1.42,1.2,4.9,6.1,6.1,0,0,0,0,0,0,1979,1979,1370.49,100,Graubünden,100,,,,,Aua da Milez,Aua da Val Giuf,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verfügungsrecht,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700400,169740
100150,Val Strem,Val Strem,L,Sedrun,Graubünden,stillgelegt,T,,1,2,2,2,2,0.6,5.4,6,6,0,0,0,0,0,0,1945,2009,1344.37,100,Graubünden,100,,,,,Strem,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2069,,,,,,,,,,,,,,,,,,,- Wegen eines Felssturzes im März 2016 wurde das KW Ausser Betrieb gesetzt,,,,,,,,,,701420,170140
100200,Sedrun 1,Sedrun 1,S,Sedrun,Graubünden,im Normalbetrieb,T,,30,150,150,147,147,182.3,79.1,261.4,261.4,0,0,0,0,0,0,1968,2011,1314.5,100,Graubünden,100,,,,,Froda,Rein da Curnera,Rein da Nalps,Rein da Tuma,Stausee Curnera,Stausee Nalps,Stausee Sta.Maria,147,Vatgira,Vorderrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2048,,,,,,,,,,,,,,,,,,,- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne,,,,,,,,,,701770,169620
100250,Sedrun 2,Sedrun 2,L,Sedrun,Graubünden,im Normalbetrieb,T,,3,0.75,0.75,0.7,0.7,0.6,2.3,2.9,2.9,0,0,0,0,0,0,1968,1968,1314.5,100,Graubünden,100,,,,,Vorderrhein,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2048,,,,,,,,,,,,,,,,,,,- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne,,,,,,,,,,701770,169620
100300,Tavanasa (KVR),Tavanasa (KVR),S,Tavanasa,Graubünden,im Normalbetrieb,T,,46,180,180,176.4,176.4,220.5,342.9,563.4,563.4,0,0,0,0,0,0,1962,1962,797.4,100,Graubünden,100,,,,,Rein da Medel,Rein da Nalps,Rein da Sumvitg,Vorderrhein,,,,176.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722880,179020
100400,Russein,Russein,L,Somvix,Graubünden,im Normalbetrieb,T,,7,24.87,24.87,24.2,24.2,8.4,58.4,66.8,66.8,0,0,0,0,0,0,1947,2015,962.8,100,Graubünden,100,,,,,Russeinbach,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711610,175380
100500,Ferrera,Ferrera,L,Trun,Graubünden,im Normalbetrieb,T,,0.6,4.23,4.23,4.23,4.23,3.79,14.72,18.51,18.51,0,0,0,0,0,0,1999,1999,871.25,100,Graubünden,100,,,,,Ferrerabach,,,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718280,178090
100550,Trun,Trun,L,Trun,Graubünden,im Normalbetrieb,T,,0.28,0.6,0.6,0.6,0.6,1,3,4,4,0,0,0,0,0,0,1943,2005,871,100,Graubünden,100,,,,,Ferrerabach,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2045,,,,,,,,,,,,,,,,,,,- Kote Maschinensaalboden bezieht sich auf die Höhe der Turbinenachse,,,,,,,,,,718280,178090
100575,Dardin (Casut),Dardin (Casut),L,"Dardin, Casut",Graubünden,im Normalbetrieb,T,,0.13,0.4,0.4,0.42,0.42,0.39,1.24,1.63,1.63,0,0,0,0,0,0,2008,2008,987.8,100,Graubünden,100,,,,,Quelle Plaun las Steilas,Quelle Tschegn dadens,Quellen Cuolms da Runs,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verfügungsrecht,9999,,,,,,,,,,,,,,,,,,,- Trinkwasserkraftwerk,,,,,,,,,,723100,179730
100600,Tavanasa (AHSAG),Tavanasa (AHSAG),L,Tavanasa,Graubünden,im Umbau,T,,1.5,4,4,3.7,3.7,5.3,13.3,18.6,18.6,0,0,0,0,0,0,1946,1946,775.4,100,Graubünden,100,,,,,St. Petersbach,Tscharbach,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2026,,,,,,,,,,,,,,,,,,,- Die Zentralenwerte beziehen sich auf die Anlage vor dem Umbau.,- Die Inbetriebnahme ist im Jahre 2017 vorgesehen. ,  Nach dem Umbau sind folgende Werte zu erwarten:,  Ausbauwassermenge (an 28 Tagen erreicht)		=   2.70 m3/s,  Installierte Leistung sämtlicher Turbinen		=   10.14 MW,  Maximal mögliche Leistung ab Generatoren		=   10.14 MW,  Mittlere Produktionserwartung im Sommerhalbjahr	=   20.13 GWh,  Mittlere Produktionserwartung im Winterhalbjahr		=   2.71 GWh,  Mittlere Produktionserwartung im Jahr			=   22.84 GWh,  Koordinaten Zentrale				=   724'695 / 179'471,724700,179470
